Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
07/04/2021,27,US,"633,702","330,604,253","1,039,561","302,916","182,412,776","450,215",Report,"633,702","1,039,561","341,189","157,323,738","613,581"
07/04/2021,27,US,"47,547","332,278,601","466,518","26,763","183,186,819","233,118",Admin,"47,547","466,519","25,874","158,368,411","257,925"
07/03/2021,26,US,"1,161,081","329,970,551","1,121,064","459,182","182,109,860","462,292",Report,"1,161,081","1,121,064","726,653","156,982,549","685,472"
07/03/2021,26,LTC,389,"7,893,384",864,373,"4,656,082",621,Report,389,864,0,0,0
07/03/2021,26,LTC,22,"7,897,398",742,13,"4,658,948",543,Admin,22,742,11,"3,197,522",408
07/03/2021,26,US,"340,662","332,231,054","496,624","175,173","183,160,056","247,151",Admin,"340,662","496,625","180,690","158,342,537","274,923"
07/02/2021,26,LTC,436,"7,897,376",748,233,"4,658,935",549,Admin,436,749,210,"3,197,511",412
07/02/2021,26,LTC,"1,610","7,892,995","1,034","1,082","4,655,709",723,Report,"1,610","1,034",0,0,0
07/02/2021,26,US,"657,166","328,809,470","1,087,156","311,262","181,650,678","451,362",Report,"657,166","1,087,156","371,295","156,255,896","662,906"
07/02/2021,26,US,"588,443","331,890,392","515,854","295,430","182,984,883","253,358",Admin,"588,443","515,854","322,517","158,161,847","289,015"
07/01/2021,26,LTC,"1,471","7,896,940",813,"1,099","4,658,702",590,Admin,"1,471",814,859,"3,197,301",442
07/01/2021,26,LTC,736,"7,891,385",987,516,"4,654,627",706,Report,736,987,0,0,0
07/01/2021,26,US,"1,630,778","328,152,304","1,066,443","664,677","181,339,416","429,677",Report,"1,630,778","1,066,443","999,915","155,884,601","661,795"
07/01/2021,26,US,"562,327","331,301,949","536,632","277,128","182,689,453","260,122",Admin,"562,327","536,633","314,711","157,839,330","304,383"
06/30/2021,26,LTC,"1,561","7,895,469",910,"1,135","4,657,603",647,Admin,"1,561",910,822,"3,196,442",504
06/30/2021,26,US,"1,368,679","326,521,526","949,925","734,537","180,674,739","389,407",Report,"1,368,679","949,925","685,022","154,884,686","585,340"
06/30/2021,26,LTC,"1,046","7,890,649","1,165",870,"4,654,111",821,Report,"1,046","1,165",0,0,0
06/30/2021,26,US,"599,511","330,739,622","551,986","298,456","182,412,325","264,998",Admin,"599,511","551,987","333,229","157,524,619","316,145"
06/29/2021,26,LTC,553,"7,889,603","1,285",529,"4,653,241",860,Report,553,"1,285",0,0,0
06/29/2021,26,LTC,"1,492","7,893,908",977,"1,171","4,656,468",705,Admin,"1,492",978,852,"3,195,620",556
06/29/2021,26,US,"599,579","330,140,111","567,363","290,616","182,113,869","268,634",Admin,"599,579","567,364","339,625","157,191,390","328,850"
06/29/2021,26,US,"738,476","325,152,847","847,000","325,037","179,940,202","329,305",Report,"738,476","847,000","423,546","154,199,664","539,284"
06/28/2021,26,US,"527,562","329,540,532","585,827","268,257","181,823,253","272,760",Admin,"527,562","585,827","288,830","156,851,765","344,592"
06/28/2021,26,LTC,179,"7,892,416",992,120,"4,655,297",714,Admin,179,993,78,"3,194,768",575
06/28/2021,26,US,"1,087,043","324,414,371","833,990","353,896","179,615,165","324,602",Report,"1,087,043","833,990","747,453","153,776,118","532,873"
06/28/2021,26,LTC,64,"7,889,050","1,275",33,"4,652,712",843,Report,64,"1,275",0,0,0
06/27/2021,26,US,"1,204,225","323,327,328","765,846","387,453","179,261,269","310,426",Report,"1,204,225","765,846","844,422","153,028,665","480,145"
06/27/2021,26,LTC,35,"7,892,237","1,067",32,"4,655,177",755,Admin,35,"1,067",29,"3,194,690",614
06/27/2021,26,US,"258,289","329,012,970","587,315","124,994","181,554,996","276,613",Admin,"258,289","587,316","144,861","156,562,935","343,234"
06/27/2021,26,LTC,"1,651","7,888,986","2,133",943,"4,652,679","1,308",Report,"1,651","2,133",0,0,0
06/26/2021,25,LTC,68,"7,892,202","1,064",54,"4,655,145",751,Admin,68,"1,065",36,"3,194,661",612
06/26/2021,25,US,"475,270","328,754,681","588,619","218,627","181,430,002","274,585",Admin,"475,270","588,620","279,332","156,418,074","346,781"
06/26/2021,25,LTC,"1,581","7,887,335","1,979","1,088","4,651,736","1,221",Report,"1,581","1,979",0,0,0
06/26/2021,25,US,"923,724","322,123,103","715,044","382,669","178,873,816","305,239",Report,"923,724","715,044","568,689","152,184,243","437,011"
06/25/2021,25,LTC,"1,281","7,885,754","2,017",964,"4,650,648","1,250",Report,"1,281","2,017",0,0,0
06/25/2021,25,LTC,890,"7,892,134","1,059",516,"4,655,091",745,Admin,890,"1,059",424,"3,194,625",608
06/25/2021,25,US,"512,174","321,199,379","735,800","159,470","178,491,147","314,414",Report,"512,174","735,800","363,520","151,615,554","450,935"
06/25/2021,25,US,"733,892","328,279,411","600,449","342,775","181,211,375","276,120",Admin,"733,892","600,449","430,097","156,138,742","357,793"
06/24/2021,25,LTC,"2,146","7,891,244","1,078","1,500","4,654,575",765,Admin,"2,146","1,078","1,291","3,194,201",614
06/24/2021,25,US,"669,804","327,545,519","622,928","311,260","180,868,600","279,150",Admin,"669,804","622,929","397,042","155,708,645","378,318"
06/24/2021,25,US,"815,152","320,687,205","816,831","382,785","178,331,677","351,974",Report,"815,152","816,831","464,731","151,252,034","499,064"
